timestamp,X1,X2,Y1,Y2,D1,D2,Z1,Z2,id
2024-07-24 12:40:06,1.13,1.31,-0.38,47.81,28.50,133.88,26.44,27.19,177
2024-07-24 12:40:17,-0.19,2.81,1.13,8.06,24.19,130.31,26.63,26.25,178
2024-07-24 12:40:26,1.88,0.19,1.50,38.81,27.38,127.50,25.31,26.63,179
2024-07-24 12:40:34,2.63,-0.19,4.31,20.63,28.31,131.81,27.75,27.56,180
2024-07-24 12:40:51,0.00,-0.38,0.38,-2.81,24.19,135.00,25.69,25.88,181
2024-07-24 12:41:00,0.56,1.31,1.50,4.69,27.19,150.38,26.44,27.56,182
2024-07-24 12:41:08,0.19,2.44,-0.94,-5.06,25.69,143.25,26.63,27.00,183
2024-07-24 12:41:16,-0.75,1.13,-1.69,-13.69,27.00,155.25,26.63,27.00,184
2024-07-24 12:41:27,-0.75,4.88,1.13,38.81,24.75,151.88,24.75,26.25,185
2024-07-24 12:41:47,1.31,1.13,1.31,9.00,32.81,147.56,24.00,26.25,186
2024-07-24 12:41:56,1.13,0.00,0.19,-9.94,25.69,132.94,28.50,26.81,187
2024-07-24 12:42:04,0.19,0.00,0.00,14.81,25.50,145.69,25.13,27.56,188
2024-07-24 12:42:12,0.56,1.13,0.94,35.63,24.00,152.63,26.81,27.94,189
2024-07-24 12:42:20,0.56,1.50,1.31,46.88,28.50,144.00,24.94,27.38,190
2024-07-24 12:42:28,-0.19,3.38,0.00,-9.19,24.00,131.44,24.38,27.19,191
2024-07-24 12:42:36,-0.56,-0.19,-4.69,30.75,25.69,137.06,26.06,27.19,192
2024-07-24 12:42:44,1.50,0.94,-0.19,45.56,27.75,134.63,24.94,26.06,193
2024-07-24 12:42:52,-0.38,1.88,3.00,-11.06,27.19,118.31,26.81,28.13,194
2024-07-24 12:43:00,1.13,0.19,0.00,42.19,-3.00,83.44,18.75,26.63,195
2024-07-24 12:43:08,-138.94,-152.63,-148.88,-213.38,-64.50,54.94,19.13,28.88,196
2024-07-24 12:43:16,-130.88,-146.06,-140.81,-175.31,-61.50,78.75,18.56,26.63,197
2024-07-24 12:43:24,2.63,1.88,-1.31,-30.38,27.19,131.25,25.31,26.06,198
2024-07-24 12:43:32,-1.50,-1.50,1.88,26.25,28.13,140.06,24.19,26.25,199
2024-07-24 12:43:40,-0.56,-0.75,1.13,-61.88,27.94,140.44,27.94,26.81,200
2024-07-24 12:43:48,3.75,0.00,0.75,21.00,27.00,150.75,27.94,27.75,201
2024-07-24 12:43:56,0.19,2.06,3.56,29.25,2.63,51.75,18.94,28.50,202
2024-07-24 12:44:04,-0.38,0.38,-4.13,26.44,10.88,138.00,18.94,28.31,203
2024-07-24 12:44:12,0.94,1.50,0.38,2.63,27.19,134.81,25.69,29.25,204
2024-07-24 12:44:20,0.94,1.88,0.56,2.06,27.00,142.88,28.69,29.06,205
2024-07-24 12:44:28,0.19,1.13,2.63,7.69,25.13,140.25,25.50,27.38,206
2024-07-24 12:44:36,0.00,0.75,-0.75,-15.00,30.75,127.13,28.88,28.88,207
2024-07-24 12:44:44,-0.56,1.50,-1.31,4.88,28.31,146.44,27.38,28.69,208
2024-07-24 12:44:52,2.44,2.81,0.38,-30.56,30.00,123.56,30.56,28.31,209
2024-07-24 12:45:00,3.75,0.38,2.44,23.25,29.25,137.06,25.13,28.88,210
2024-07-24 12:45:08,1.31,1.50,-1.50,12.19,27.94,140.25,28.69,28.50,211
2024-07-24 12:45:16,0.94,2.25,2.06,-36.75,28.88,130.31,28.69,28.50,212
2024-07-24 12:45:24,1.88,1.50,2.06,8.81,26.63,140.63,27.00,29.44,213
2024-07-24 12:45:32,1.13,1.88,-0.19,64.50,26.44,132.56,28.31,29.25,214
